HomePlanet,CryoSleep,Destination,Age,VIP,Transported,Group,GroupSize,CabinDeck,CabinNum,CabinSide,log_RoomService,log_FoodCourt,log_ShoppingMall,log_Spa,log_VRDeck,Surname,AgeBins,GroupBins,GroupSizeBins,CabinNumBins,log_RoomServiceBins,log_FoodCourtBins,log_ShoppingMallBins,log_SpaBins,log_VRDeckBins
Earth,False,TRAPPIST-1e,7.0,False,False,20.0,6,E,0.0,S,0.0,0.0,0.0,0.0,0.0,Mcfaddennon,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,False,TRAPPIST-1e,21.0,False,False,22.0,1,D,0.0,P,6.8885724595653635,1.0986122886681098,4.248495242049359,0.0,0.0,Leonzaley,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Europa,True,TRAPPIST-1e,62.0,False,True,24.0,1,C,2.0,S,0.0,0.0,0.0,0.0,0.0,Fullided,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,15.0,False,False,25.0,1,F,6.0,S,0.0,5.420534999272286,0.0,6.906754778648554,0.0,Brookenson,"(-0.001, 17.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(-1.0, 0.0]"
Europa,False,55 Cancri e,34.0,False,False,26.0,1,C,0.0,P,3.1354942159291497,8.711772645605693,0.0,7.271703706887368,5.796057750765372,Unconary,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(0.0, 10.091]"
Mars,False,TRAPPIST-1e,43.0,False,False,28.0,1,F,8.0,P,7.026426808699636,0.0,4.919980925828125,3.8918202981106265,0.0,Mare,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(0.0, 10.017]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,32.0,False,False,30.0,1,G,4.0,S,0.0,6.7464121285733745,4.406719247264253,6.082218910376446,6.118097198041348,Morsentley,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Mars,False,TRAPPIST-1e,47.0,False,True,31.0,3,F,9.0,P,5.3706380281276624,0.0,7.252762418053187,0.0,7.114769448366463,Datie,"(42.0, 79.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(0.0, 10.091]"
Mars,False,TRAPPIST-1e,2.0,False,True,31.0,3,F,9.0,P,0.0,0.0,0.0,0.0,0.0,Datie,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,False,TRAPPIST-1e,20.0,False,True,31.0,3,F,9.0,P,2.6853190140638312,0.0,7.467942332285852,6.898714534329988,0.0,Datie,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(0.0, 10.017]","(-1.0, 0.0]"
Europa,True,55 Cancri e,28.0,False,True,34.0,1,D,1.0,S,0.0,0.0,0.0,0.0,0.0,Oingwhedly,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,False,55 Cancri e,23.0,False,False,35.0,1,D,1.0,P,6.665683717782408,6.872128101338986,0.0,6.858565034791365,0.0,Butte,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(-1.0, 0.0]"
Earth,False,55 Cancri e,15.0,False,False,36.0,1,F,8.0,S,0.0,6.20050917404269,3.8918202981106265,3.044522437723423,5.996452088619021,Leodger,"(-0.001, 17.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Earth,False,55 Cancri e,20.0,False,False,38.0,1,F,10.0,S,6.318968113746434,5.278114659230517,0.0,7.865955413933502,0.0,Wheelez,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(-1.0, 0.0]"
Earth,True,55 Cancri e,30.0,False,False,39.0,1,G,1.0,P,0.0,0.0,0.0,0.0,0.0,Batthewitt,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,TRAPPIST-1e,17.0,False,True,41.0,1,G,2.0,P,0.0,0.0,0.0,0.0,0.0,Moodsey,"(-0.001, 17.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Europa,False,TRAPPIST-1e,45.0,False,False,43.0,1,B,3.0,P,0.0,5.10594547390058,3.828641396489095,7.828834527588089,6.752270376141742,Cylistrand,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Earth,True,TRAPPIST-1e,55.0,False,False,44.0,3,G,3.0,P,0.0,0.0,0.0,0.0,0.0,Coopelandez,"(42.0, 79.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,55 Cancri e,4.0,False,True,44.0,3,G,3.0,P,0.0,0.0,0.0,0.0,0.0,Coopelandez,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,PSO J318.5-22,21.0,False,True,44.0,3,G,3.0,P,0.0,0.0,0.0,0.0,0.0,Coopelandez,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,False,TRAPPIST-1e,21.0,False,False,45.0,2,F,10.0,P,6.878326468291325,0.0,5.198497031265826,0.0,4.174387269895637,Chmad,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(0.0, 10.091]"
Mars,True,TRAPPIST-1e,19.0,False,True,45.0,2,F,10.0,P,0.0,0.0,0.0,0.0,0.0,Chmad,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,55 Cancri e,35.0,False,False,50.0,1,E,1.0,S,6.673297967767654,0.0,0.0,0.0,0.0,Lancis,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,56.0,False,False,51.0,1,E,2.0,S,0.0,4.727387818712341,0.0,7.22983877815125,4.852030263919617,Johnshines,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,43.0,False,False,52.0,1,G,6.0,S,1.6094379124341003,0.0,1.0986122886681098,8.451907724717607,0.0,Hubbarton,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(0.0, 10.017]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,25.0,False,True,53.0,1,F,11.0,S,0.0,0.0,7.569927655242652,0.0,0.6931471805599453,Hickerson,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(0.0, 10.091]"
Europa,False,TRAPPIST-1e,2.0,False,True,56.0,3,A,1.0,S,0.0,0.0,0.0,0.0,0.0,Tractive,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Europa,True,TRAPPIST-1e,38.0,False,True,56.0,3,A,1.0,S,0.0,0.0,0.0,0.0,0.0,Tractive,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Europa,False,TRAPPIST-1e,27.0,False,True,56.0,3,A,1.0,S,5.634789603169249,6.406879986069314,8.12415060330663,5.659482215759621,1.3862943611198906,Tractive,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Earth,True,PSO J318.5-22,36.0,False,False,58.0,1,G,7.0,S,0.0,0.0,0.0,0.0,0.0,Ayalazquez,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,22.0,False,False,61.0,1,F,12.0,S,3.828641396489095,7.00033446027523,5.003946305945459,7.228388451573604,0.6931471805599453,Salez,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,62.0,False,False,62.0,1,F,13.0,S,0.0,6.385194398997726,0.0,2.8903717578961645,3.258096538021482,Greeves,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(0.0, 10.091]"
Mars,True,TRAPPIST-1e,15.0,False,True,64.0,2,F,14.0,S,0.0,0.0,0.0,0.0,0.0,Keen,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,True,TRAPPIST-1e,33.0,False,True,64.0,2,E,3.0,S,0.0,0.0,0.0,0.0,0.0,Keen,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,62.0,False,False,66.0,1,G,6.0,P,0.6931471805599453,5.0369526024136295,5.288267030694535,0.0,6.133398042996649,Pecketton,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(-1.0, 0.0]","(0.0, 10.091]"
Earth,True,PSO J318.5-22,0.0,False,True,67.0,3,G,10.0,S,0.0,0.0,0.0,0.0,0.0,Leeves,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,18.0,False,True,67.0,3,G,10.0,S,0.6931471805599453,5.556828061699537,6.102558594613569,0.0,0.0,Leeves,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,55 Cancri e,21.0,False,False,67.0,3,F,15.0,S,7.5740450053721995,3.6375861597263857,0.0,0.0,3.2188758248682006,Leeves,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.091]"
Mars,False,TRAPPIST-1e,43.0,False,False,68.0,1,E,4.0,S,6.677083461247136,0.0,1.0986122886681098,5.537334267018537,0.0,Binie,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(0.0, 10.017]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,42.0,False,True,69.0,1,F,16.0,S,6.78897174299217,0.0,2.302585092994046,1.9459101490553132,0.0,Leonzaley,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(0.0, 10.017]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,19.0,False,False,70.0,1,F,13.0,P,5.25227342804663,0.0,1.791759469228055,0.6931471805599453,6.588926477533519,Brighttt,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,17.0,False,False,71.0,1,F,14.0,P,2.833213344056216,7.680637427560936,0.0,0.0,3.970291913552122,Dillines,"(-0.001, 17.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,14.0,False,False,72.0,1,F,17.0,S,0.0,0.6931471805599453,0.0,0.0,6.96979066990159,Brantuarez,"(-0.001, 17.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.091]"
Mars,False,PSO J318.5-22,37.0,False,False,73.0,1,D,3.0,P,3.8501476017100584,4.430816798843313,6.6052979209482015,0.0,2.5649493574615367,Make,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(-1.0, 0.0]","(0.0, 10.091]"
Europa,False,TRAPPIST-1e,42.0,False,True,74.0,1,C,3.0,S,0.6931471805599453,9.035748861244139,0.0,0.0,6.2285110035911835,Mostedry,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.091]"
Mars,False,TRAPPIST-1e,27.0,False,True,76.0,1,F,18.0,S,4.997212273764115,0.0,6.926577033222725,0.0,0.0,Dal,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,False,TRAPPIST-1e,28.0,False,True,77.0,1,F,15.0,P,2.70805020110221,0.0,7.16703787691222,0.0,0.0,Blité,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Europa,False,TRAPPIST-1e,38.0,False,False,78.0,1,C,4.0,S,0.0,8.67265729404031,0.0,5.7745515455444085,9.175231194862615,Pokerheed,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(0.0, 10.091]"
Earth,True,TRAPPIST-1e,13.0,False,False,81.0,1,G,13.0,S,0.0,0.0,0.0,0.0,0.0,Vinozarks,"(-0.001, 17.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,False,TRAPPIST-1e,42.0,False,False,82.0,3,F,16.0,P,8.91018077801329,0.0,0.0,0.0,0.0,Datte,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,True,TRAPPIST-1e,2.0,False,True,82.0,3,F,16.0,P,0.0,0.0,0.0,0.0,0.0,Datte,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
